DATE,BLOCK ID,LONG,LARG,EPAIS,VOL,POIDS,
,17235678,160,154,60,1.48,8.73,
,17236736,340,180,40,2.45,16.77,
,17236743,175,175,70,2.14,11.91,
,17236774,235,169,77,3.06,14.02,
,17236781,308,176,93,5.04,20.52,
,17236782,280,170,110,5.24,17.13,
,17236793,315,166,94,4.92,15.59,
,17236795,300,170,80,4.08,19.70,
,17236796,302,173,123,6.43,21.48,
,17232010,175,170,127,3.78,15.12,
,17236593,200,160,120,3.84,22.30,
,17236810,258,178,80,3.67,15.08,
,17236811,272,180,50,2.45,10.62,
,17236812,276,179,83,4.10,13.13,
,17236813,265,177,70,3.28,13.17,
,17236814,252,180,94,4.26,14.79,
,17236815,310,178,92,5.08,17.61,
,17236816,303,179,102,5.53,19.42,
,17236817,320,178,60,3.42,16.27,
,17236818,174,173,124,3.73,14.47,
,17236847,200,118,115,2.71,12.00,
,17236848,250,100,60,1.50,9.48,
,17236851,210,168,95,3.35,12.66,
,17236852,180,118,96,2.04,9.23,
,17236860,180,120,118,2.55,11.21,
,17236866,205,183,110,4.13,14.14,
,17236867,206,184,60,2.27,10.41,
,17236868,195,190,139,5.15,17.18,
,17236870,180,188,130,4.40,18.74,
,17236880,284,179,149,7.57,25.98,
,17236883,190,172,155,5.07,17.45,
,17236884,170,130,160,3.54,14.33,
,17236887,175,168,126,3.70,12.55,
,17236888,245,173,90,3.81,15.86,
,17236890,225,166,72,2.69,9.51,
,17236892,267,173,130,6.00,18.30,
,17236895,285,170,60,2.91,14.22,
,17236896,240,168,130,5.24,22.74,
,17236897,200,164,75,2.46,13.67,
,17236898,300,170,65,3.32,17.40,
,17236899,200,167,75,2.51,13.84,
,17236907,250,160,55,2.20,11.18,
,17236908,230,170,55,2.15,13.64,
,17236910,180,174,110,3.45,18.95,
,17236912,170,160,120,3.26,14.11,
,17236913,240,174,80,3.34,14.56,
,17236914,190,176,110,3.68,15.22,
,17236915,290,178,115,5.94,22.27,
,17236918,250,175,117,5.12,20.42,
,17236920,180,171,85,2.62,11.37,
,17236921,140,160,165,3.70,17.57,
,17236922,210,170,120,4.28,18.79,
,17236923,320,172,105,5.78,22.12,
,17236924,260,170,120,5.30,20.66,
,17236925,220,168,142,5.25,20.54,
,17236930,190,172,110,3.59,14.43,
,17236931,260,172,100,4.47,17.70,
,17236932,240,177,126,5.35,19.54,
,17236933,190,166,121,3.82,13.53,
,17236934,276,167,65,3.00,12.76,
,17236936,300,145,110,4.79,24.43,
,17236937,190,167,63,2.00,8.68,
,17236941,270,160,138,5.96,23.66,
,17236942,326,174,107,6.07,21.59,
,17236943,212,174,79,2.91,13.94,
,17236944,240,164,60,2.36,11.33,
,17236945,270,174,140,6.58,22.94,
,17236946,250,100,95,2.38,10.45,
,17236947,260,166,108,4.66,19.47,
,17236948,267,169,135,6.09,24.43,
,17236949,265,177,118,5.53,19.47,
,17236950,170,145,140,3.45,18.08,
,17236952,180,170,130,3.98,15.58,
,17236953,247,169,96,4.01,17.51,
,17236954,240,169,143,5.80,21.81,
,17236955,265,170,130,5.86,22.59,
,17236959,230,177,108,4.40,18.78,
,17236969,191,173,115,3.80,17.84,
,17236972,237,160,70,2.65,13.39,
,17236973,226,170,80,3.07,12.08,
,17236974,229,170,100,3.89,17.85,
,17236975,300,178,116,6.19,25.04,
,17236976,198,180,85,3.03,13.75,
,17236977,160,170,122,3.32,12.84,
,17236978,255,160,62,2.53,15.58,
,17236981,291,172,85,4.25,16.91,
,17236982,295,172,116,5.89,20.37,
,17236983,160,155,65,1.61,7.76,
,17236984,160,150,90,2.16,12.37,
,17236985,210,180,100,3.78,13.98,
,17236986,190,170,116,3.75,14.02,
,17236987,230,168,120,4.64,16.21,
,17236993,315,176,83,4.60,17.11,
,17236994,330,150,75,3.71,20.51,
,17236996,290,177,85,4.36,19.36,
,17236997,268,169,110,4.98,18.20,
,17236998,200,178,104,3.70,15.54,
,17237017,250,170,65,2.76,15.88,
,17237018,287,160,100,4.59,21.25,
,17237019,290,169,80,3.92,21.31,
,17237020,290,160,100,4.64,19.64,
,17237021,320,162,96,4.98,21.40,
,17237022,270,177,68,3.25,14.81,
,17237023,265,178,100,4.72,19.87,
,17237024,280,180,55,2.77,12.66,
,17237025,280,102,60,1.71,7.99,
,17237026,300,184,56,3.09,12.06,
,17237028,178,188,95,3.18,13.09,
