Emplacement,Nombre de logements,1-2½,3½,4½,5½,6½+
Ile de Montréal,1 615,1 369 $ ,1 562 $ ,1 881 $ ,2 182 $ ,2 771 $ 
Ahuntsic-Cartierville,83,1 002 $ ,1 268 $ ,1 628 $ ,1 731 $ ,2 925 $ 
Anjou,19,,1 092 $ ,1 783 $ ,1 606 $ ,2 313 $ 
Cecil-P.-Newman,6,,1 298 $ ,1 850 $ ,1 850 $ ,
Côte-des-Neiges-Notre-Dame-de-Grâce,179,1 198 $ ,1 452 $ ,1 800 $ ,1 934 $ ,2 793 $ 
Côte-Saint-Luc,30,1 575 $ ,2 004 $ ,2 058 $ ,3 248 $ ,
Dollard-des-Ormeaux,4,,,1 745 $ ,1 700 $ ,1 830 $ 
Dollard-Des-Ormeaux,2,,,1 275 $ ,,
Dorval,8,1 328 $ ,,1 345 $ ,1 550 $ ,
Hampstead,3,,,1 695 $ ,1 695 $ ,3 600 $ 
Ile de Montréal,1 615,1 369 $ ,1 562 $ ,1 881 $ ,2 182 $ ,2 771 $ 
Île-des-Sœurs,27,1 564 $ ,1 485 $ ,1 828 $ ,2 749 $ ,
Kirkland,4,1 353 $ ,1 495 $ ,,,
L'Île-Bizard-Sainte-Geneviève,5,,,1 148 $ ,1 200 $ ,3 500 $ 
Lachine,20,875 $ ,1 324 $ ,1 710 $ ,1 833 $ ,1 700 $ 
LaSalle,45,1 139 $ ,1 098 $ ,1 470 $ ,1 971 $ ,2 417 $ 
Le Plateau-Mont-Royal,31,1 207 $ ,2 168 $ ,2 227 $ ,2 489 $ ,3 032 $ 
Le Sud-Ouest,41,1 845 $ ,1 745 $ ,1 902 $ ,2 744 $ ,2 590 $ 
Mercier-Hochelaga-Maisonneuve,95,1 062 $ ,1 392 $ ,1 576 $ ,1 781 $ ,2 189 $ 
Mont-Royal,18,1 020 $ ,1 418 $ ,1 669 $ ,1 667 $ ,
Montagne,2,,,,3 200 $ ,1 175 $ 
Montréal-Est,10,,1 345 $ ,1 578 $ ,,
Montréal-Nord,38,762 $ ,1 088 $ ,1 213 $ ,1 580 $ ,2 607 $ 
Montréal-Ouest,2,,1 585 $ ,,,
Outremont,50,1 507 $ ,2 105 $ ,2 465 $ ,3 324 $ ,4 126 $ 
Pierrefonds-Roxboro,52,800 $ ,1 410 $ ,1 684 $ ,1 806 $ ,2 740 $ 
Plateau Mont-Royal,121,1 383 $ ,1 494 $ ,1 665 $ ,1 547 $ ,2 964 $ 
Pointe-aux-Trembles,6,620 $ ,1 645 $ ,1 490 $ ,,2 000 $ 
Pointe-Claire,32,1 360 $ ,1 666 $ ,2 163 $ ,2 505 $ ,2 750 $ 
René-Lévesque,25,1 433 $ ,1 775 $ ,2 264 $ ,2 195 $ ,2 300 $ 
Rivière-des-Prairies-Pointe-aux-Trembles,18,799 $ ,1 345 $ ,1 385 $ ,1 200 $ ,2 053 $ 
Rosemont-La Petite-Patrie,75,1 046 $ ,1 604 $ ,1 904 $ ,2 012 $ ,2 849 $ 
Saint-Laurent,47,1 394 $ ,1 251 $ ,1 862 $ ,2 175 $ ,2 235 $ 
Saint-Léonard,31,1 400 $ ,1 448 $ ,1 399 $ ,1 682 $ ,2 075 $ 
Sainte-Anne-de-Bellevue,4,1 400 $ ,,1 175 $ ,,1 950 $ 
Sainte-Marie,6,,,1 750 $ ,1 650 $ ,2 630 $ 
Verdun,45,1 334 $ ,1 439 $ ,1 855 $ ,2 064 $ ,2 527 $ 
Verdun-Centre,1,,1 095 $ ,,,
Vieux-Lachine,1,3 200 $ ,,,,
Vieux-Montréal,29,1 552 $ ,1 807 $ ,3 133 $ ,3 950 $ ,3 240 $ 
Ville-Marie,299,1 619 $ ,1 768 $ ,2 344 $ ,3 076 $ ,3 636 $ 
Villeray-Saint-Michel-Parc-Extension,56,1 130 $ ,1 407 $ ,1 667 $ ,1 865 $ ,2 704 $ 
Westmount,45,2 895 $ ,1 806 $ ,2 401 $ ,2 873 $ ,2 420 $ 
